Feature ID,Feature Name,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000214706,IFRD2,0.010893095569643359,0.1327722803354925,0.23199229524971035,1050,0.49185135836287636,755
ENSG00000161681,SHANK1,0.010889409032585767,0.12658202481242609,0.2226446362350733,40,0.025087431628340377,39
ENSG00000114744,COMMD2,0.01088609149826288,0.1328029472261112,0.23202196694883442,584,0.2656065081781044,483
ENSG00000111707,SUDS3,0.010881018665728255,0.13320407558188996,0.23262378644029985,1056,0.4946774469231562,755
ENSG00000158022,TRIM63,0.010879711394170051,0.12826119619371967,0.2250610971091206,54,0.029701092671802654,52
ENSG00000204335,SP5,0.010875740298378825,0.12669992619379822,0.22278267462037493,42,0.01662335914727788,41
ENSG00000141642,ELAC1,0.01086482184412116,0.13271185950433684,0.23191062317424518,212,0.08907618505978898,198
ENSG00000165916,PSMC3,0.010864275450413442,0.13379781592779771,0.23347140502674787,1277,0.6090178057831733,862
ENSG00000170088,TMEM192,0.010863693786988173,0.13320004128023966,0.23262378644029985,490,0.24053594288319563,413
ENSG00000170615,SLC26A5,0.010862395965334956,0.11583150089941863,0.2066730442273988,16,0.007880833847630074,16
ENSG00000109689,STIM2,0.010861975494957678,0.13375871516563875,0.23345123089543332,902,0.42891949982476235,676
ENSG00000114956,DGUOK,0.01086196786330142,0.1337858491016508,0.23347140502674787,902,0.4136216766167643,682
ENSG00000126016,AMOT,0.010858438206504355,0.1332160164296845,0.23262378644029985,254,0.11518276656839606,230
ENSG00000141497,ZMYND15,0.010842900314551767,0.13347859644604454,0.23303430379427859,360,0.18157679726969086,318
ENSG00000127220,ABHD8,0.010838296220103023,0.1341885508750833,0.23405686126915248,395,0.19933231600689078,341
ENSG00000100034,PPM1F,0.010833964937851319,0.1348270440203252,0.23502546826245047,1269,0.6413050577860783,870
ENSG00000161664,ASB16,0.010833186662698505,0.13011026250386548,0.22795178159455776,59,0.026994933027844767,58
ENSG00000147439,BIN3,0.010826853289113314,0.1349258239078206,0.2351493028919809,670,0.32528056771640385,538
ENSG00000134982,APC,0.010820941376519223,0.13499103553874314,0.2352387723839913,610,0.3009742745277319,495
ENSG00000105723,GSK3A,0.01081888656145931,0.13531718287128958,0.23563758405914578,1110,0.5214408004201169,796
ENSG00000203705,TATDN3,0.01081451622844233,0.1351461743540161,0.23538814875672784,466,0.22758112806306569,403
ENSG00000107614,TRDMT1,0.010813749677328862,0.1344798945682122,0.23446854509558507,215,0.10729038215025798,202
ENSG00000141503,MINK1,0.010813236190505579,0.13558408987389026,0.2360538775643803,1837,0.866097922934145,1083
ENSG00000184545,DUSP8,0.010813129812613719,0.13507787393206594,0.23535032079358878,402,0.19392974391135445,342
ENSG00000114054,PCCB,0.010809550702417514,0.1340742924322067,0.23388162916921829,205,0.09521977912545325,192
ENSG00000276234,TADA2A,0.010808627363481144,0.13526502564213283,0.2355709547752152,421,0.19725839840245518,361
ENSG00000165487,MICU2,0.010806770108742004,0.13574573509904075,0.23631103736206355,1190,0.5766269762482887,820
ENSG00000168758,SEMA4C,0.010803985259020073,0.13576432668129623,0.23631913701793594,813,0.3975714438348325,649
ENSG00000101945,SUV39H1,0.01080097083244691,0.1338417193314645,0.2335239795765822,126,0.062446733884848483,120
ENSG00000164975,SNAPC3,0.01079207363300006,0.1362638268239018,0.23706689789352808,1171,0.5451878615056968,815
ENSG00000124613,ZNF391,0.010791129469284488,0.13424078013637541,0.2340997928854257,124,0.056995986418355744,116
ENSG00000176422,SPRYD4,0.01078953931227341,0.13589074574793059,0.23649062855783365,398,0.1838605750006403,347
ENSG00000151952,TMEM132D,0.010788372360778611,0.13047407520188803,0.22849472895081185,51,0.023417647450162157,48
ENSG00000100083,GGA1,0.010784981259532422,0.1364734228669091,0.23740718359178917,1060,0.5038778738061415,747
ENSG00000028310,BRD9,0.010774569673520907,0.13682857150900674,0.2379104152821831,963,0.449268695363517,708
ENSG00000178229,ZNF543,0.010773217252970963,0.1350934316846557,0.23535032079358878,128,0.056438221682872075,125
ENSG00000166166,TRMT61A,0.010768574516544229,0.13674636083355596,0.23780878054899043,465,0.20014611414957156,391
ENSG00000173653,RCE1,0.010766897672551104,0.13671943132370767,0.23780871837094908,604,0.2903114429339617,499
ENSG00000116729,WLS,0.010758117272040622,0.13740666969047766,0.238834598926836,1099,0.5158251202426268,777
ENSG00000175643,RMI2,0.010747310768503271,0.13580544491144897,0.2363664421546767,144,0.06234622912117964,137
ENSG00000080345,RIF1,0.010746108491545893,0.1369325287264238,0.23805927933016707,258,0.11145861087956509,238
ENSG00000119242,CCDC92,0.010743402557119426,0.13788198735581814,0.23956253470286337,905,0.43527048850486805,663
ENSG00000102967,DHODH,0.010742825622537837,0.1367322983767849,0.23780871837094908,197,0.08414064036488467,184
ENSG00000160007,ARHGAP35,0.01074261637190567,0.13791289434616183,0.23959168057637334,1240,0.5893991146752476,847
ENSG00000104047,DTWD1,0.010741315457714914,0.13794731383283687,0.2396132591128064,962,0.4716292195018685,724
ENSG00000101365,IDH3B,0.010730163093093286,0.13835174714116794,0.24023100379264248,959,0.4443755089815372,697
ENSG00000090861,AARS,0.010726227296545692,0.1385735881708796,0.24059156311818666,1258,0.5886806370001719,867
ENSG00000067829,IDH3G,0.01071996328741953,0.13875418657428584,0.2408557877731588,1326,0.636961408117829,916
ENSG00000131055,COX4I2,0.010717149852270055,0.13777069931717545,0.2394182488953867,212,0.10920919482406408,194
ENSG00000196218,RYR1,0.010712668034397627,0.13406882788973018,0.23388162916921829,61,0.028041647791589585,60
