Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000166148,AVPR1A,0.0022053384740130864,-2.217105482112099,0.6144907874283081,0.006858855381681339,1.2367345970748573,1.0,0.01575801201802704,2.561676350915846,0.5760002739136219
ENSG00000177990,DPY19L2,0.0027566730925163577,-0.7316786549418559,1.0,0.0034294276908406695,1.0143421757384088,1.0,0.00393950300450676,1.2397482560284834,1.0
ENSG00000118600,RXYLT1,0.02205338474013086,0.45594834823391484,1.0,0.013717710763362678,-0.34822790364629874,1.0,0.01575801201802704,-0.12282182335622505,1.0
ENSG00000196935,SRGAP1,0.008821353896052346,-0.2291783144126729,1.0,0.013717710763362678,0.9737001912410639,1.0,0.00393950300450676,-0.3452142446926736,1.0
ENSG00000174206,C12orf66,0.006064680803535987,0.2683213450581441,1.0,0.0,-0.9856578242615912,1.0,0.00787900600901352,1.047103178086088,1.0
ENSG00000184575,XPOT,0.026464061688157035,-0.20443165207698755,1.0,0.020576566145044016,-0.25359102950822354,1.0,0.03939503004506759,0.7251750831987245,1.0
ENSG00000183735,TBK1,0.01378336546258179,0.38379856247807975,1.0,0.017147138454203348,0.7062198803760777,1.0,0.0,-1.9070931323007878,0.8512234117368851
ENSG00000153179,RASSF3,0.05513346185032716,0.534215405031178,0.9991286584980152,0.037723704599247364,-0.37470011500748956,1.0,0.03545552704056084,-0.4383236490841549,1.0
ENSG00000135677,GNS,0.0716735004054253,-0.5056105754620104,0.9343194981790502,0.08230626458017606,0.12570328468611347,1.0,0.12212459313970955,0.77097877281185,0.6649281199560307
ENSG00000111490,TBC1D30,0.0027566730925163577,0.8532838457793002,1.0,0.0,0.23673459707485733,1.0,0.0,0.46214067736493103,1.0
ENSG00000174106,LEMD3,0.011578026988568703,-0.2722470363045586,1.0,0.010288283072522008,0.12125737965492167,1.0,0.01575801201802704,0.7251750831987245,1.0
ENSG00000174099,MSRB3,0.006064680803535987,-1.731678654941856,0.37329298018566076,0.006858855381681339,0.01434217573840968,1.0,0.03545552704056084,2.561676350915845,0.032451852564403444
ENSG00000139233,LLPH,0.03087473863618321,0.29385643716528076,1.0,0.037723704599247364,0.5240165491553288,1.0,0.00787900600901352,-1.455397162443095,0.6839350208236111
