Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value
ENSG00000002330,BAD,0.08081184347638612,0.05461835094718159,1.0,0.060678861298723075,-0.40796608257511835,1.0,0.1023894255210981,0.49486197118548514,1.0,0.09361221779548473,0.3118380279544004,1.0
ENSG00000173264,GPR137,0.048848950161099074,0.47285828226436966,1.0,0.036934959051396654,-0.23456051239784337,1.0,0.07167259786476868,0.8898895097328343,1.0,0.013373173970783532,-1.4417766950873547,0.7382995066933861
ENSG00000173153,ESRRA,0.04342128903208806,0.5566696035222671,1.0,0.029020324968954514,-0.3904786558462776,1.0,0.01023894255210981,-1.0043158262445688,1.0,0.035661797255422754,0.005257897400474221,1.0
ENSG00000173113,TRMT112,0.17790667033980526,0.29619049107846473,1.0,0.16093089300965685,-0.056010264341234794,1.0,0.12286731062531774,-0.36902878762872726,1.0,0.12481629039397964,-0.4247721788369603,1.0
ENSG00000126432,PRDX5,0.19720502102073328,-0.15007206865580702,1.0,0.22160975430837992,0.15850658704539455,1.0,0.2969293340111845,0.6059577630057749,1.0,0.17830898627711378,-0.18235900884357337,1.0
ENSG00000236935,AP003774.2,0.015076836469475021,0.13767409067474023,1.0,0.018467479525698327,0.5747559259930464,1.0,0.0,-0.610036887132523,1.0,0.008915449313855689,-0.21470778654143352,1.0
ENSG00000168071,CCDC88B,0.2038388290673023,-0.1394768176197485,1.0,0.25590650199896253,0.356575755943513,1.0,0.2559735638027453,0.34010259834075307,1.0,0.15602036299247454,-0.4339741068911618,1.0
ENSG00000162302,RPS6KA4,0.0675442273832481,-0.37485488055067684,1.0,0.08706097490686354,0.33002233690219596,1.0,0.05119471276054905,-0.2966708057485836,1.0,0.10252766710934041,0.5912815934919409,1.0
ENSG00000110076,NRXN2,0.00663380804656901,-1.115306650495131,0.9425490642054292,0.010552845443256187,0.5341139414957006,1.0,0.01023894255210981,1.1269287070336835,1.0,0.022288623284639222,1.7422234915666808,0.7026169028557522
ENSG00000237410,AP001092.1,0.0012061469175580018,-0.6558750318578337,1.0,0.0,0.3821108480506492,1.0,0.0,2.5192461298124433,1.0,0.004457724656927844,2.6597613313747077,1.0
ENSG00000068831,RASGRP2,0.2671615422390974,0.2589575848794894,1.0,0.2717357701638468,0.12544852462945655,1.0,0.23549567869852564,-0.06821887811188221,1.0,0.13373173970783533,-0.955897966569365,0.44767062701253374
ENSG00000068976,PYGM,0.006030734587790009,-0.36636841466284853,1.0,0.00791463408244214,0.6816711299095584,1.0,0.01023894255210981,1.6123555342039255,1.0,0.004457724656927844,0.3378332364873451,1.0
ENSG00000168066,SF1,0.3425457245864725,-0.07723737704457379,1.0,0.39309349276129296,0.2164668439362143,1.0,0.4505134722928317,0.40747288115592695,1.0,0.26746347941567067,-0.3981860178345722,1.0
ENSG00000168067,MAP4K2,0.08262106385272312,0.08632721067451987,1.0,0.09497560898930568,0.30616199481735196,1.0,0.07167259786476868,-0.012135330703868075,1.0,0.049034971226206286,-0.6701595542661853,1.0
ENSG00000133895,MEN1,0.03618440752674005,-0.2642965054029789,1.0,0.04221138177302475,0.24075499880510876,1.0,0.07167259786476868,1.126928707033684,1.0,0.03120407259849491,-0.14759359068289601,1.0
ENSG00000171219,CDC42BPG,0.00663380804656901,0.022196873254804572,1.0,0.0026382113608140467,-0.5247797475578677,1.0,0.0,0.5192461298124433,1.0,0.013373173970783532,1.544284113954772,1.0
ENSG00000110047,EHD1,0.24786319155816935,0.0619587021301764,1.0,0.2585447133597766,0.1045768725217413,1.0,0.3276461616675139,0.4708831082510452,1.0,0.16047808764940238,-0.627971843629058,0.8997518926827944
ENSG00000229719,MIR194-2HG,0.0018092203763370026,-0.24083753257898977,1.0,0.0026382113608140467,1.38211084805065,1.0,0.0,2.1973180349250816,1.0,0.0,0.922795737208502,1.0
ENSG00000110046,ATG2A,0.05608583166644708,-0.04380068551943683,1.0,0.05804064993790903,0.09831788205005942,1.0,0.1023894255210981,1.0244814380628662,1.0,0.035661797255422754,-0.5626310899617408,1.0
ENSG00000068971,PPP2R5B,0.018695277222149028,0.17419996669985416,1.0,0.013191056804070234,-0.28085416467177904,1.0,0.02047788510421962,0.7466566259155165,1.0,0.017830898627711377,0.2812497081209777,1.0
ENSG00000149735,GPHA2,0.0012061469175580018,0.3441249681421663,1.0,0.0,0.7971483473294931,1.0,0.0,2.9342836290912873,1.0,0.0,1.6597613313747077,1.0
ENSG00000168070,MAJIN,0.0,-2.2408375325789898,1.0,0.0,1.3821108480506492,1.0,0.0,3.5192461298124433,1.0,0.004457724656927844,4.244723832095864,0.8354746726254818
ENSG00000168062,BATF2,0.006030734587790009,-0.10333400882905419,1.0,0.0052764227216280934,0.26663363063071444,1.0,0.0,0.6123555342039255,1.0,0.008915449313855689,1.1292466146759281,1.0
ENSG00000213465,ARL2,0.09950712069853514,0.04673905751759566,1.0,0.08706097490686354,-0.17428250047373517,1.0,0.1023894255210981,0.1777778485294368,1.0,0.10698539176626826,0.18122088978970563,1.0
ENSG00000110025,SNX15,0.015076836469475021,0.13767409067474023,1.0,0.00791463408244214,-0.617889151949349,1.0,0.030716827656329434,1.5192461298124433,1.0,0.013373173970783532,0.2447238320958638,1.0
ENSG00000168061,SAC3D1,0.02171064451604403,1.1612609109923557,0.7188484579932094,0.0052764227216280934,-1.3904786558462776,1.0,0.0,-0.9070186248896546,1.0,0.017830898627711377,0.2812497081209777,1.0
ENSG00000168060,NAALADL1,0.00783995496412701,-0.7554107054087478,1.0,0.00791463408244214,0.06018275316328836,1.0,0.01023894255210981,1.059814511175147,1.0,0.022288623284639222,1.6597613313747077,0.8354746726254818
ENSG00000146670,CDCA5,0.016282983387033025,-0.43348261052138604,1.0,0.03429674769058261,1.282575174499736,1.0,0.01023894255210981,0.12692870703368353,1.0,0.004457724656927844,-1.147593590682896,1.0
ENSG00000162300,ZFPL1,0.03135981985650804,0.09476549920544919,1.0,0.03429674769058261,0.282575174499736,1.0,0.01023894255210981,-0.6506788716298688,1.0,0.026746347941567064,-0.014010436304304541,1.0
ENSG00000149823,VPS51,0.19901424139707027,-0.06982247060813629,1.0,0.2321625997516361,0.2542179340308559,1.0,0.23549567869852564,0.2776601432426853,1.0,0.15602036299247454,-0.37325372585325534,1.0
ENSG00000149809,TM7SF2,0.016886056845812025,-0.7047846323387796,1.0,0.02374390224732642,0.4186367240757649,1.0,0.05119471276054905,1.6779438758315024,1.0,0.022288623284639222,0.40342157811492196,1.0
