Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000243244,STON1,0.00829211217523819,-3.6576434137283447,1.0,0.07453867946198413,3.6576434137283447,1.0
ENSG00000179915,NRXN1,0.0005025522530447388,-5.575181253536371,1.0,0.0,5.575181253536371,1.0
ENSG00000115239,ASB3,0.02035336624831192,-0.8025917496394444,1.0,0.0,0.8025917496394444,1.0
ENSG00000143942,CHAC2,0.006030627036536865,-2.516287564482803,1.0,0.0,2.516287564482803,1.0
ENSG00000068912,ERLEC1,0.12463295875509521,0.21199578658360174,1.0,0.07453867946198413,-0.21199578658360174,1.0
ENSG00000119737,GPR75,0.0002512761265223694,-6.160143754257527,1.0,0.0,6.160143754257527,1.0
ENSG00000068878,PSME4,0.07261880056496475,-0.5651971649637502,1.0,0.07453867946198413,0.5651971649637502,1.0
ENSG00000170634,ACYP2,0.053270538822742304,-1.4254341340316903,1.0,0.11180801919297619,1.4254341340316903,1.0
ENSG00000272156,AC008280.3,0.0007538283795671081,-5.160143754257527,1.0,0.0,5.160143754257527,1.0
ENSG00000115306,SPTBN1,0.5641149040427192,0.2725587400019809,1.0,0.44723207677190474,-0.2725587400019809,1.0
ENSG00000214595,EML6,0.0052767986569697565,-2.700712135620231,1.0,0.0,2.700712135620231,1.0
ENSG00000115310,RTN4,0.4450100200711162,-0.06942058384360217,1.0,0.44723207677190474,0.06942058384360217,1.0
ENSG00000162994,CLHC1,0.007538283795671081,-2.2059474438706523,1.0,0.0,2.2059474438706523,1.0
ENSG00000143947,RPS27A,5.271773134439309,0.09861998386236914,1.0,5.068630203414921,-0.09861998386236914,1.0
ENSG00000085760,MTIF2,0.04799374016577255,-1.1601437542575286,1.0,0.07453867946198413,1.1601437542575286,1.0
ENSG00000240401,AC012358.3,0.0030153135182684324,-3.4597040361164364,1.0,0.0,3.4597040361164364,1.0
ENSG00000115355,CCDC88A,0.04372204601489227,-0.7089326424251996,1.0,0.037269339730992064,0.7089326424251996,1.0
ENSG00000163001,CFAP36,0.03392227708051986,-0.07268091300718815,1.0,0.0,0.07268091300718815,1.0
ENSG00000275052,PPP4R3B,0.08844919653587402,-0.6966193809863479,1.0,0.11180801919297619,0.6966193809863479,1.0
ENSG00000272606,AC015982.2,0.007789559922193451,-2.160143754257528,1.0,0.0,2.160143754257528,1.0
ENSG00000138035,PNPT1,0.03166079194181854,-1.171459067485363,1.0,0.037269339730992064,1.171459067485363,1.0
ENSG00000115380,EFEMP1,0.306808150483813,-0.22704327932616097,1.0,0.33542405757892857,0.22704327932616097,1.0
ENSG00000233251,AC007743.1,0.0005025522530447388,-5.575181253536371,1.0,0.0,5.575181253536371,1.0
ENSG00000055813,CCDC85A,0.0012563806326118469,-4.575181253536371,1.0,0.0,4.575181253536371,1.0
ENSG00000285755,AC132153.1,0.0005025522530447388,-5.575181253536371,1.0,0.0,5.575181253536371,1.0
ENSG00000028116,VRK2,0.0065331792895816036,-2.405256252094059,1.0,0.0,2.405256252094059,1.0
ENSG00000287875,AC068193.1,0.0002512761265223694,-6.160143754257527,1.0,0.0,6.160143754257527,1.0
ENSG00000115392,FANCL,0.019599537868744812,-2.4413255068015816,1.0,0.07453867946198413,2.4413255068015816,1.0
ENSG00000233723,LINC01122,0.0002512761265223694,-6.160143754257527,1.0,0.0,6.160143754257527,1.0
ENSG00000119866,BCL11A,0.01256380632611847,-2.4877184122860325,1.0,0.037269339730992064,2.4877184122860325,1.0
ENSG00000115421,PAPOLG,0.017589328856565858,-3.3323247296402085,1.0,0.14907735892396826,3.3323247296402085,1.0
ENSG00000162924,REL,0.0030153135182684324,-3.4597040361164364,1.0,0.0,3.4597040361164364,1.0
ENSG00000162927,PUS10,0.011056149566984252,-1.6682906579278534,1.0,0.0,1.6682906579278534,1.0
ENSG00000162928,PEX13,0.029399306803117215,-0.27750070489568657,1.0,0.0,0.27750070489568657,1.0
ENSG00000162929,KIAA1841,0.0052767986569697565,-3.7007121356202313,1.0,0.037269339730992064,3.7007121356202313,1.0
ENSG00000212978,AC016747.1,0.009548492807850036,-1.8747415353952794,1.0,0.0,1.8747415353952794,1.0
ENSG00000237651,C2orf74,0.025881441031804047,-0.4597040361164355,1.0,0.0,0.4597040361164355,1.0
ENSG00000271889,AC016747.2,0.0002512761265223694,-6.160143754257527,1.0,0.0,6.160143754257527,1.0
ENSG00000115464,USP34,0.09246961456023194,0.3673332518028678,1.0,0.037269339730992064,-0.3673332518028678,1.0
ENSG00000273302,AC016747.3,0.0002512761265223694,-6.160143754257527,1.0,0.0,6.160143754257527,1.0
ENSG00000270820,AC016727.1,0.0022614851387013244,-3.8382156593701655,1.0,0.0,3.8382156593701655,1.0
ENSG00000082898,XPO1,0.09799768934372406,0.450881043049824,1.0,0.037269339730992064,-0.450881043049824,1.0
ENSG00000170264,FAM161A,0.0052767986569697565,-2.700712135620231,1.0,0.0,2.700712135620231,1.0
ENSG00000115484,CCT4,0.21835895394793897,0.28279974159120025,1.0,0.14907735892396826,-0.28279974159120025,1.0
ENSG00000236498,AC107081.2,0.0005025522530447388,-5.575181253536371,1.0,0.0,5.575181253536371,1.0
ENSG00000173163,COMMD1,0.095233651951978,-1.1752506466477368,1.0,0.1863466986549603,1.1752506466477368,1.0
ENSG00000170340,B3GNT2,0.021107194627879026,-1.7507528181198269,1.0,0.037269339730992064,1.7507528181198269,1.0
ENSG00000228541,AC093159.1,0.0002512761265223694,-6.160143754257527,1.0,0.0,6.160143754257527,1.0
ENSG00000186889,TMEM17,0.004774246403925018,-2.8382156593701655,1.0,0.0,2.8382156593701655,1.0
ENSG00000226622,AC092155.1,0.002010209012178955,-3.990218752815215,1.0,0.0,3.990218752815215,1.0
ENSG00000115504,EHBP1,0.030655687435729065,-1.8025917496394448,1.0,0.07453867946198413,1.8025917496394448,1.0
ENSG00000115507,OTX1,0.0015076567591342162,-4.3527888321999235,1.0,0.0,4.3527888321999235,1.0
